Title,Authors,Publication Date,DOI,Source
Automatic annotation of unlabeled data from smartphone-based motion and location sensors,Pius Owoh N.,2018-07-03,10.3390/s18072134,Sensors (Switzerland)
Forensic dna profiling for identifying an individual crime,Abiodun O.,2018-07-01,N/A,International Journal of Civil Engineering and Technology
Habituation effects in computer security warning,Amran A.,2018-03-04,10.1080/19393555.2018.1448492,Information Security Journal
A survey on tor encrypted traffic monitoring,Aminuddin M.A.I.M.,2018-01-01,10.14569/ijacsa.2018.090815,International Journal of Advanced Computer Science and Applications
Online Islamic business enhancer tool (OIBET) for young entrepreneurs,Hassan R.,2018-01-01,N/A,"Proceedings of the 31st International Business Information Management Association Conference, IBIMA 2018: Innovation Management and Education Excellence through Vision 2020"
Enhanced Analytical Hierarchy process for U-Learning with Near Field Communication (NFC) technology,Osman H.M.,2018-01-01,10.14569/IJACSA.2018.091241,International Journal of Advanced Computer Science and Applications
Big data: An approach for detecting terrorist activities with people's profiling,Abiodun O.I.,2018-01-01,N/A,Lecture Notes in Engineering and Computer Science
An Authentication Technique: Behavioral Data Profiling on Smart Phones,Mohammed S.,2018-01-01,10.1007/978-981-10-8276-4_9,Lecture Notes in Electrical Engineering
N-LibSys: Library system using NFC technology,Mun S.,2018-01-01,10.1007/978-981-10-5281-1_3,Lecture Notes in Electrical Engineering
A secure mobile crowdsensing (MCS) location tracker for elderly in smart city,Shien L.K.,2017-10-03,10.1063/1.5005418,AIP Conference Proceedings
Near Field Communication Interactive Learning System (NILES) for Blended Learning: A Pervasive Social Networking Services,Wei K.,2017-09-14,10.1109/PICICT.2017.29,"Proceedings - 2017 Palestinian International Conference on Information and Communication Technology, PICICT 2017"
Further investigation on security warnings implementation: A case in higher institution,Samsudin N.F.,2017-05-01,10.1166/asl.2017.8293,Advanced Science Letters
Human activity recognition (HAR) for wearable sensors with classification techniques,Ching K.W.,2017-05-01,10.1166/asl.2017.8300,Advanced Science Letters
Breast cancer cells predictions with classification algorithms,Radzi S.,2017-05-01,10.1166/asl.2017.8316,Advanced Science Letters
NFC-based waste management tracking and monitoring system,Yeong B.C.,2017-03-22,10.1145/3018896.3025134,ACM International Conference Proceeding Series
Smart university: Reservation system with contactless technology,Ching L.,2017-03-22,10.1145/3018896.3018903,ACM International Conference Proceeding Series
Enhanced action based trust model: A multi-facet model for social media,Singh M.M.,2017-02-04,10.1007/978-981-10-2717-8_29,Transactions on Engineering Technologies: World Congress on Engineering and Computer Science 2015
Privacy-by-design(PBD) IoT framework: A case of location privacy mitigation strategies for near field communication (NFC) tag sensor,Ragunatha Nadarajah V.,2017-01-01,10.25046/aj020116,"Advances in Science, Technology and Engineering Systems"
